               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12168,            0.035664,                   0,           0.0023072,             0.16667,           0.0010389,          0.00017761,             0.12999,            0.028678,                   0,              0.0003,              0.0003,              0.0973
                   1,             0.11938,            0.032778,                   0,           0.0021602,             0.16667,          0.00078362,          0.00021989,             0.12372,             0.02677,                   0,           0.0006901,           0.0006901,             0.09369
                   2,             0.11166,            0.033524,                   0,            0.025517,            0.083333,            0.004784,           0.0011673,             0.11761,            0.024599,                   0,           0.0010689,           0.0010689,            0.090069
                   3,            0.099469,            0.033735,                   0,             0.15589,            0.083333,            0.021366,           0.0029734,             0.10944,            0.022474,                   0,           0.0014364,           0.0014364,            0.086436
                   4,            0.095706,            0.034685,                   0,             0.46476,            0.083333,            0.056053,           0.0069094,             0.10384,            0.021103,                   0,           0.0017925,           0.0017925,            0.082793
                   5,            0.093042,            0.033428,                   0,             0.21289,                0.25,              0.0942,            0.012974,            0.096748,            0.019734,                   0,           0.0021374,           0.0021374,            0.079137
                   6,            0.088565,             0.03496,                   0,              0.1605,             0.33333,             0.10842,            0.034807,            0.086707,            0.018204,                   0,           0.0024709,           0.0024709,            0.075471
                   7,            0.080032,            0.029364,                   0,             0.39867,             0.33333,             0.20803,            0.054979,            0.063003,            0.017371,                   0,           0.0027931,           0.0027931,            0.071793
                   8,            0.081212,            0.030471,                   0,             0.30752,             0.66667,             0.33281,            0.087003,            0.088058,            0.016205,                   0,            0.003104,            0.003104,            0.068104
                   9,            0.073487,            0.031999,                   0,             0.49729,             0.49502,             0.47681,             0.17777,            0.092633,            0.014806,                   0,           0.0034036,           0.0034036,            0.064404
                  10,            0.066486,            0.029931,                   0,             0.74837,                 0.5,              0.5427,             0.20199,            0.066597,            0.015253,                   0,           0.0036919,           0.0036919,            0.060692
                  11,            0.067387,            0.027818,                   0,             0.83248,             0.41454,             0.53992,             0.12576,            0.052728,             0.01851,                   0,           0.0039688,           0.0039688,            0.056969
                  12,            0.060817,            0.028315,                   0,             0.18163,             0.33333,             0.11546,            0.018547,            0.066255,            0.021939,                   0,           0.0042345,           0.0042345,            0.053234
                  13,            0.070127,            0.023502,                   0,             0.71217,             0.41667,             0.45779,             0.20994,            0.059029,            0.021161,                   0,           0.0044888,           0.0044888,            0.049489
                  14,            0.064814,             0.02421,                   0,             0.71376,             0.41667,             0.44402,             0.15857,            0.062545,            0.018691,                   0,           0.0047318,           0.0047318,            0.045732
                  15,            0.073652,            0.023286,                   0,            0.075449,             0.41667,            0.053295,            0.010178,            0.072157,             0.01516,                   0,           0.0049635,           0.0049635,            0.041964
                  16,            0.072257,            0.019938,                   0,            0.092517,             0.33333,            0.061554,           0.0090855,            0.075708,            0.012342,                   0,           0.0051839,           0.0051839,            0.038184
                  17,            0.077775,             0.02182,                   0,            0.092959,             0.66667,             0.09271,            0.012758,            0.071544,             0.01101,                   0,            0.005393,            0.005393,            0.034393
                  18,            0.071808,            0.020658,                   0,             0.23022,             0.41667,             0.16689,            0.050957,            0.064178,             0.01128,                   0,           0.0055907,           0.0055907,            0.030591
                  19,            0.062395,            0.024436,                   0,             0.30764,             0.66667,             0.29684,            0.059697,            0.063105,            0.011167,                   0,           0.0057772,           0.0057772,            0.026777
                  20,            0.063972,            0.028168,                   0,             0.29083,             0.58333,             0.24842,            0.062179,            0.065209,            0.011063,                   0,           0.0059523,           0.0059523,            0.022952
                  21,            0.059442,            0.028427,                   0,             0.31983,             0.66667,             0.26862,            0.062193,             0.06363,           0.0096649,                   0,           0.0061161,           0.0061161,            0.019116
                  22,            0.067946,            0.021692,                   0,             0.39513,             0.32725,             0.26408,            0.071686,            0.062915,           0.0094748,                   0,           0.0062686,           0.0062686,            0.015269
                  23,             0.06426,             0.02247,                   0,             0.38995,                0.75,             0.43661,            0.076213,            0.053235,           0.0098577,                   0,           0.0064098,           0.0064098,             0.01141
                  24,            0.072396,             0.02153,                   0,             0.42784,                0.75,             0.48965,             0.14668,             0.05703,            0.010153,                   0,           0.0065397,           0.0065397,           0.0075397
                  25,             0.06218,            0.025078,                   0,             0.49504,                0.75,             0.56233,             0.19804,            0.050724,            0.010301,                   0,           0.0064643,           0.0064643,           0.0064643
                  26,            0.050431,            0.027888,                   0,             0.52607,             0.83333,             0.65002,             0.13652,            0.052573,            0.010677,                   0,           0.0064643,           0.0064643,           0.0064643
